Tweet,Tag
"RT @SaysHummingbird: THIS. WILL. MAKE. YOUR. DAY. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>

No one in Washington wants to hire former Trump aides: report

https://t.co/5R9…",Negative
"RT @kylegriffin1: Trump’s U.S. businesses have received at least $15,100,000 in revenue from political groups and federal agencies since 20…",Neutral
"RT @burgessev: Sen. Tillis takes big risk with Mueller protection bill, risking Trump’s and conservative ire. “Courage is when you know you…",Negative
RT @krassenstein: Growing up I always looked up to the President no matter party affiliation or ideologies. This carried on over to my adul…,Positive
RT @EdKrassen: President Trump wants to review the evidence seized from Michael Cohen before the Federal Investigators can review it.  This…,Neutral
@WMUR9 I agree with Comey. Trump is untethered to truth and morally unfit to be President. Trump displays a mobster… https://t.co/FuVgBU2YeO,Negative
RT @FoxFriendsFirst: “Why on earth was this man anywhere near the Clinton email investigations? And why on earth was he allowed to continue…,Negative
"RT @GoalTurkiye: Jupp Heynckes'in, gelecek yil Bayern Münih'i çalistiracak olan Niko Kovac'a dair yorumu: 

""Donald Trump ABD baskaniysa ta…",Neutral
"RT @SaysHummingbird: Fox &amp; Friends host say that Trump that bombing Syria would be ‘a bigger story than Comey’s book’.

These Trumpsters ar…",Negative
"RT @FiveRights: .@MSNBC
In accusing Trump of attacking Syria to divert from Stormy Daniels you displayed your Trump Derangement Syndrome (T…",Negative
"RT @bryanbehar: Why is it that Trump supporters consider themselves “more American?”

Yet they side with the Confederacy, Nazis, Russia, pe…",Negative
RT @business: James Comey says he can't rule out the possibility that the Russian government has incriminating information about President…,Negative
"@GOPChairwoman WRONG... Why are you trying to spread lies about other ppl's opinions???  I believe Comey 100%, yet… https://t.co/a84fQ6nrM0",Negative
"RT @Lrihendry: Trump was right. Attacks on him are attacks on the American people! I feel it! I’m disgusted, offended and quite frankly sic…",Positive
"RT @AriFleischer: Trump was wrong if he asked Comey for loyalty. But make no mistake, if Hillary had won she would have fired Comey on 1/20…",Negative
RT @SamBerger_DC: Wondering why Trump is so desperate to end the Mueller investigation? Maybe it's b/c of the repeated meetings his team ha…,Negative
"RT @Top_Sergeant: Better charge my phone, Trump's meltdown on Twitter Monday &amp; Tuesday are going to be epic. Unless, he chooses to bomb som…",Negative
RT @CREWcrew: Why is Ivanka Trump conducting American diplomacy in Peru? She doesn’t have foreign policy experience or even a full security…,Negative
@FoxNews @MariaBartiromo @Comey @POTUS @HillaryClinton Because Trump was clearly acting like a criminal who is guilty.,Negative
"RT @BrandonN1271: I just I'll drop this here again makes me smile everytime!
#Trump #MAGA #Trump2020 #TrumpTrain #TrumpNationRising #Trumpv…",Positive
RT @MilesGauntt: @b_mcnett @krassenstein The Russians are everywhere here in Florida.  The buy condos and houses and not just Trump propert…,Negative
"RT @Prison4Trump: Last night, 233 Repug Congress vermin’s voted to rob Social Security's $2.9 trillion to cover the budget deficit Trump-Ry…",Negative
"RT @realAliTweets: Who's the""slimeball""?

Trump: Draft dodger, married 3 times, cheated on all three, with porn stars, while one of them wa…",Negative
"@LindseyGrahamSC @foxandfriends GraHAM support 100% President Trump. President Trump is a great leader, you not so much.",Positive
"RT @FiveRights: Comey,
Trump made himself POTUS.
You made yourself a multiple felon.
Trump has character, you don't.
He didn't try to betra…",Positive
"RT @RonaldKlain: In 2014, Donald Trump urged that one of Franklin Graham's evangelical doctors be left to die in West Africa when he contra…",Negative
@FoxNews @Judgenap Trump supporters will one day have to face the fact that Trump is the criminal. The Republican P… https://t.co/K8rKQlGFg2,Negative
"RT @krassenstein: 15 State AGs sue Trump EPA for not enforcing pollution controls

These are the True Heroes of Justice!",Negative
"RT @Doug05830195: Lol, so now the Trump talking point is so what if Cohen was in Prague.  If so,then it showed he lied again, repeatedly. A…",Negative
"RT @renato_mariotti: 13/ Appointing a special master is not without precedent, but it wouldn’t get Cohen or Trump much as a practical matte…",Neutral
"RT @thehill: Trump quietly targets Medicaid, food stamp recipients with sweeping welfare overhaul https://t.co/zbiXPKOfRN https://t.co/v6ix…",Neutral
RT @charliekirk11: When Comey testified in front of Congress he said he knew nothing about wiretapping of Trump or transition team. He was…,Neutral
RT @CharlesMBlow: If Comey hadn’t screwed up so badly there may well have been no need for anyone to take a “strong stance on Trump’s lack…,Negative
"RT @annalecta: NEW: 8,700 page @FEC filing reveals Trump's 2020 re-election campaign paid $280,000 in legal fees to two law firms represent…",Neutral
"RT @CoreyLMJones: Liberals are willing to completely burn the country to the ground in order to keep Trump from succeeding.

As Americans,…",Neutral
RT @politicususa: Comey just destroyed Trump. This has to be brutal for the White House. #ComeyInterview https://t.co/tXZQUvXGVJ,Negative
"RT @WayneDupreeShow: Comey Interview — 'Trump doesn't reflect views of our country' <U+22C6> ""HIM FEELINGS HURT he got fired"" 

READ THIS <ed><U+00A0><U+00BD><ed><U+00B3><U+0096>: https…",Negative
@renato_mariotti Your POTUS is guilty corrupt and he's being enabled as a dictator. USA is in a sad place with this… https://t.co/8qBe9H27jX,Negative
"RT @MSNBC: ""I don't think he's medically unfit to be president. I think he's morally unfit to be president.""

–  Fmr. FBI Director James Co…",Negative
"RT @TomSteyer: We’re watching tiny minds meld.
https://t.co/YMjdToQijB",Neutral
The key moments from James Comey's first interview since President Trump fired him - ABC News https://t.co/tR5Axe97rp,Neutral
RT @charliekirk11: When Comey testified in front of Congress he said he knew nothing about wiretapping of Trump or transition team. He was…,Negative
"RT @dumbassgenius: Maybe Trump peed the bed, thought he had a wet dream, and misspelled ""Emission Accomplished."" (Probably not, except for…",Negative
@foxandfriends The bulk of tax savings have gone to investors. Thanks Trump.,Negative
RT @John_Hudson: SCOOP: Trump erupted at staffers after the US announced the expulsion of 60 Russian officials. He said they misled him abo…,Negative
"RT @smartnotstupid: The Book of Revelations predicted the return of Christ to take on the power of Satan, that battle is well under way and…",Negative
RT @RyanAFournier: Comey is saying that President Trump is unethical... but he LITERALLY released a book full of leaks and lied under oath…,Negative
Trump touts his poll numbers being 'much higher' than those of Obama's - as he beats him by two points https://t.co/hKwlBw7iOo,Positive
"RT @tonyschwartz: Here are words Trump has used in talking about James Comey over last several days: slippery, slime ball, not smart, prove…",Negative
@drix78 @realDonaldTrump I barely use twitter sweety! Could not help but call out your ignorance and delusional thi… https://t.co/lP2qDJKgTS,Neutral
"RT @NahBabyNah: IT’S COLLUSION, I TELL YOU: Trump to Impose New Sanctions on Russia Over Support for Syria.  https://t.co/c6AmSvGofR",Negative
"RT @ericgarland: For me, the most arresting part of the Comey interview is his depiction of Donald Trump's language literally like the Cosa…",Negative
"RT @Lrihendry: Trump was right. Attacks on him are attacks on the American people! I feel it! I’m disgusted, offended and quite frankly sic…",Positive
"RT @kylegriffin1: Trump’s U.S. businesses have received at least $15,100,000 in revenue from political groups and federal agencies since 20…",Neutral
@neighbour_s @chriskkenny A story you didn't care about until Trump won....apparently the Obama campaign used similar tactics.,Positive
"RT @EdKrassen: With any other President, I’d be furious how much he is golfing. With Trump though, I wish he’d play even more. The more he…",Positive
"RT @RealJamesWoods: “California isn’t the future, rather, it’s what America’s 2016 election of Donald Trump saved the nation from becoming.…",Positive
"RT @WhoWolfe: Obama: 3/30/10
Trump:  3/30/18

Obama approval: 47%
Trump  approval: 47%

Obama Media Coverage: 95% POSITIVE
Trump  Media Cov…",Neutral
RT @charliekirk11: Why didn't Comey tell Trump that the fake dossier was paid for by Hillary Clinton and the DNC? Why didn't Comey disclose…,Neutral
@realDonaldTrump James Comey: Trump is 'morally unfit' to be Presidenthttps://www.cnn.com/videos/politics/2018/04/1… https://t.co/96Mzkk3mWQ,Negative
"RT @TeamTrump: RECORD FUNDRAISING STREAK CONTINUES! 

READ: https://t.co/tKi6jM2ciT

#MAGA #Trump #TeamTrump",Positive
"RT @TheRISEofROD: Democrat Keith Ellison supports many shady organizations.

We've all seen his selfie, flaunting ties to Antifa...

solely…",Neutral
RT @charliekirk11: When Comey testified in front of Congress he said he knew nothing about wiretapping of Trump or transition team. He was…,Neutral
"Like to dedicate this song to Trump, May and Johnson. Boris, not Denise. @TheDJohnsonR3AL https://t.co/XV7i1fmaSY",Neutral
RT @JacobAWohl: This is why we elected President Trump https://t.co/OkYQg3Qgyy,Neutral
"RT @ananavarro: Unstable Donald Trump, a man who always ends up lying and out of whack (he is not normal!) will go down as the WORST PRESID…",Negative
"RT @Alt_FedEmployee: Hey evangelicals: 

Can you explain why Trump skips church on Sundays to sit around &amp; tweet insults at the former FBI…",Negative
"RT @JenniferJJacobs: Trump will welcome Nigeria’s president, Muhammadu Buhari, to the White House on April 30 to discuss economic growth, t…",Neutral
Trump invites Nigeria's Buhari to White House to discuss 4 key priority issues &gt;&gt; https://t.co/58Ax7B6S6P https://t.co/U5ttkCQlDa,Neutral
"RT @FoxNews: .@TGowdySC: ""The reason [@Comey] wrote his book is because he got fired, not because he thinks President @realDonaldTrump is u…",Neutral
